vocab_size,sample,characters,utf8_bytes,tokens,tokens_per_character,bytes_per_token,round_trip
8192,english_everyday,181,181,49,0.27071823204419887,3.693877551020408,True
8192,english_science,196,196,35,0.17857142857142858,5.6,True
8192,numbers,81,81,55,0.6790123456790124,1.4727272727272727,True
8192,python_code,124,124,55,0.4435483870967742,2.2545454545454544,True
8192,dutch,161,161,63,0.391304347826087,2.5555555555555554,True
8192,chinese,34,102,102,3.0,1.0,True
8192,unicode,41,62,38,0.926829268292683,1.631578947368421,True
32768,english_everyday,181,181,39,0.2154696132596685,4.641025641025641,True
32768,english_science,196,196,30,0.15306122448979592,6.533333333333333,True
32768,numbers,81,81,55,0.6790123456790124,1.4727272727272727,True
32768,python_code,124,124,50,0.4032258064516129,2.48,True
32768,dutch,161,161,55,0.3416149068322981,2.9272727272727272,True
32768,chinese,34,102,87,2.5588235294117645,1.1724137931034482,True
32768,unicode,41,62,30,0.7317073170731707,2.066666666666667,True
