event,step,tokens_seen,checkpoint_sha256,train_loss,train_bpb,train_target_tokens,train_text_bytes,validation_loss,validation_bpb,validation_target_tokens,validation_text_bytes,evaluation_seconds
evaluation,25,3276800,a14226f092b94f468f6bb6e94db3ed190a7683ec900b3191a04869d6de5dc1eb,7.122764408588409,2.1829379339650017,16384,76993,6.850000500679016,2.0345305152169137,16384,79476,0.4297649539075792
evaluation,50,6553600,6a990ff65110af89de076fb307548b212edcd7ff8a59582db1f5a31737ab1f6a,6.326231479644775,1.9385964283940798,16384,76993,6.054955214262009,1.798254876862998,16384,79476,0.25547298102173954
evaluation,75,9830400,17c6d8a878f727a7ceef22a313fa4ea0c9a36069b714455cc399e27827f5762a,5.925228387117386,1.8156761555011343,16384,76993,5.688758671283722,1.6895132198609437,16384,79476,0.2543684219708666
evaluation,100,13107200,8563b81331eb64ca8849b646f024ffd55da53dc296d0cc6e63408b0c9356a88f,5.601309508085251,1.716161843824084,16384,76993,5.37064391374588,1.5949456136883742,16384,79476,0.25422618607990444
evaluation,125,16384000,db38ddcd152721dd384244f813cfe57c9adff6f3dbd5e97697c521768ed7f4fe,5.42809385061264,1.6634891718799607,16384,76993,5.183033257722855,1.5396322688103758,16384,79476,0.2542799290968105
evaluation,150,19660800,22dcb1b926d1c967614b9cf2fcddf6850ffa0979860ff608d077d4393a06faef,5.256094992160797,1.6108485594873099,16384,76993,5.069640219211578,1.505858670757518,16384,79476,0.2542933808872476
evaluation,175,22937600,8b2e03812dba9b150b4656d7a0e09281db4bc5214f93d0c5f775ce4ff4324617,5.1279840767383575,1.5716653463995107,16384,76993,4.954071611166,1.471720602784585,16384,79476,0.2550159979145974
evaluation,200,26214400,5c58047cfbe26f9d6159cbfb21398e367f4858af3c3c06a49c7ccaa53fc833b6,5.04408198595047,1.5458301788040065,16384,76993,4.877083450555801,1.448651500466027,16384,79476,0.25711487501394004
evaluation,225,29491200,ce1fae697a23abe6a25fdbb5b6cd85c2f35bfe8b80a58b13202b6df5f9bd6b2a,4.925396353006363,1.5095955661078,16384,76993,4.787084877490997,1.422251965617106,16384,79476,0.25488943001255393
evaluation,250,32768000,5760de599157039db9372d50a2e0df2cb479cbcfa9060df566924b11a8b0cf5b,4.853386282920837,1.4872513762472925,16384,76993,4.730318695306778,1.4050919559677106,16384,79476,0.2558664029929787
evaluation,275,36044800,df77d8f45255d4d85f47653a2a808cd7b251088b916b6924546bbbfaac071790,4.800024747848511,1.4710269009518797,16384,76993,4.661135941743851,1.3845623722712441,16384,79476,0.2553128390572965
evaluation,300,39321600,3ec8ae3dc8cc1caad53c3fc3a3930e8869e083cd9849cdd3841e5ad733d09be6,4.750984281301498,1.456027715363429,16384,76993,4.620541900396347,1.3726347041398068,16384,79476,0.2551068030297756
evaluation,325,42598400,17e3240e5613873fbc547094a64b40d5265336dbb8102c4f1f9740da6d611c3b,4.709683746099472,1.4433116382898863,16384,76993,4.58298122882843,1.3613524455827894,16384,79476,0.2553246800089255
evaluation,350,45875200,750e81d189ea02808fedd579c82b9428c0b404860ee155d61484d0a37dbb4227,4.671641677618027,1.4315943845939543,16384,76993,4.5544432401657104,1.3529309213556338,16384,79476,0.25507020100485533
evaluation,375,49152000,56dabfcc7db7e8e454b7d3174280edc65f59cf741c22904aa49531f07387a488,4.644586384296417,1.423268562993744,16384,76993,4.52558234333992,1.3444037433967835,16384,79476,0.2569879620568827
evaluation,400,52428800,3245c1c9b547666ec2b0142f6ceccd2c1296983a0b73ec49eb5607a11f43d325,4.622744053602219,1.416647606856769,16384,76993,4.500572234392166,1.3370020258603892,16384,79476,0.25395578902680427
evaluation,420,55050240,0fa50b9e90e3230ac4be0b8aaa660534715ecfbb213adedccc97c04d0c511451,4.60979625582695,1.41273619518648,16384,76993,4.487809538841248,1.3332638691976473,16384,79476,0.2541819210164249
