step,assistant_loss_nats,assistant_target_tokens,lr_multiplier,optimizer_update_applied,elapsed_seconds
1,6.89153183481286,2605,0.05,True,9.753986106952652
2,6.812372068466446,2645,0.1,True,9.777378272032365
3,6.751216674711004,2606,0.15,True,9.820518177002668
4,6.425215361134106,2567,0.2,True,9.864012161036953
5,6.976479553962672,1897,0.25,True,9.907609744928777
6,6.928351122866697,2710,0.3,True,9.951139522017911
7,6.145527515267202,2249,0.35,True,9.994726391043514
8,6.561652519214838,2716,0.4,True,10.038294127909467
9,6.534886812752863,2379,0.45,True,10.081771445926279
10,6.971969477123331,2396,0.5,True,10.125249664997682
11,6.397095724165351,2692,0.55,True,10.168845874955878
12,5.896174848150109,2539,0.6,True,10.21235518483445
13,6.30262591864626,2681,0.65,True,10.255831961985677
14,6.0374658960495555,2192,0.7,True,10.304316317895427
15,5.455103607691498,2079,0.75,True,10.360476695932448
16,5.839466031112335,2270,0.8,True,10.41234101401642
17,5.701681261607947,2221,0.85,True,10.462108589010313
18,6.019508226062055,2810,0.9,True,10.511421066941693
19,5.387899430071721,2562,0.95,True,10.561137203825638
20,5.5882563059650865,2764,1.0,True,10.592311452841386
21,5.308638626631129,1662,1.0,True,10.635646204929799
22,5.8751695248695555,2755,1.0,True,10.67908624582924
23,6.3261676497431045,1849,1.0,True,10.722488438943401
24,6.029415208466199,2744,1.0,True,10.765920809004456
25,5.919988895919162,2488,1.0,True,10.809529799036682
26,5.5691782674781685,2462,1.0,True,10.853024754906073
27,4.777502245620221,2681,1.0,True,10.896391507936642
28,5.441697001873544,2577,1.0,True,10.939936338923872
29,5.60514742371824,2755,1.0,True,10.983356247888878
30,5.292098320855034,2880,1.0,True,11.026796709978953
31,5.266429486818387,2219,1.0,True,11.070240151835606
32,5.666041490819985,2388,1.0,True,11.113718600012362
33,5.156734492691329,2481,1.0,True,11.157143358839676
34,4.8624187771567104,2172,1.0,True,11.200499905040488
35,5.481586657072368,2736,1.0,True,11.243885014904663
36,5.340409896698505,2709,1.0,True,11.292145761894062
37,5.71154224292652,1850,1.0,True,11.344081467017531
38,5.26639429437214,2622,1.0,True,11.393798138946295
39,4.9353736888611826,2049,1.0,True,11.443086029030383
40,4.56976195349716,2729,1.0,True,11.492862107930705
41,5.379163091305335,2547,1.0,True,11.542151605011895
42,5.192802653667355,3025,1.0,True,11.579476682003587
43,4.690414333044548,1276,1.0,True,11.622887708013877
44,4.881386301165135,2666,1.0,True,11.666280075907707
45,4.822580608439069,2788,1.0,True,11.709647455951199
46,5.356369010346625,1859,1.0,True,11.75304976804182
47,5.357930413710861,2555,1.0,True,11.796534560853615
48,4.544799056599788,2774,1.0,True,11.83997587300837
49,4.816837550005798,2695,1.0,True,11.883335273014382
50,4.959982045906403,2452,1.0,True,11.9267294309102
51,5.120639187086771,2212,1.0,True,11.970149481901899
52,4.803101265868687,2693,1.0,True,12.013488028896973
53,4.928048605997055,2440,1.0,True,12.056893788045272
54,4.641177051222212,2879,1.0,True,12.100256177829579
55,4.7340291737118045,2569,1.0,True,12.143588800914586
56,5.066503439441922,2615,1.0,True,12.187040052842349
57,4.791278183540891,2956,1.0,True,12.23040425288491
58,5.128762050749731,1859,1.0,True,12.27871194994077
59,4.4915573018165365,1796,1.0,True,12.330718118930236
60,4.9616896789197975,2422,1.0,True,12.380465870955959
61,5.183275643693845,3172,1.0,True,12.429666359908879
62,4.900658089992634,1994,1.0,True,12.47953810193576
63,4.769192175782687,2717,1.0,True,12.533025818876922
64,4.264229597970095,2788,1.0,True,12.567421400919557
65,4.941949861935745,2279,1.0,True,12.610910278977826
66,4.905070545333941,2332,1.0,True,12.654346658848226
67,4.662985977831553,2247,1.0,True,12.697913527023047
68,4.757974152348137,1781,1.0,True,12.741354750934988
69,5.004288427462605,2156,1.0,True,12.784719116985798
70,4.73931135401607,2248,1.0,True,12.82807408994995
71,4.43122066708166,2303,1.0,True,12.871516200015321
72,5.141230424722923,2329,1.0,True,12.914988711941987
73,4.754338848204644,2315,1.0,True,12.958374144043773
74,3.9025811222514415,2038,1.0,True,13.001893494976684
75,4.678882311717855,2617,1.0,True,13.045274395029992
76,4.621442915083052,1998,1.0,True,13.08873763284646
77,4.08598340712807,3034,1.0,True,13.132070499937981
78,4.7394832224201915,1903,1.0,True,13.175557576818392
79,4.577657865577535,2436,1.0,True,13.218981552869081
80,4.3597992610236735,2883,1.0,True,13.267758724978194
81,4.776950523501537,3416,1.0,True,13.318983621895313
82,4.985684449442416,1729,1.0,True,13.368835116969422
83,4.575330447756373,2177,1.0,True,13.422413454856724
84,5.206652449737614,1852,1.0,True,13.478584110038355
85,3.9819007264064754,2078,1.0,True,13.530690715881065
86,4.930296774697739,3174,1.0,True,13.555422159843147
87,4.462305820504239,2241,1.0,True,13.59868247085251
88,4.699669072335988,2637,1.0,True,13.64218673389405
89,4.450810850932921,2730,1.0,True,13.685724160866812
90,4.611130233053033,2423,1.0,True,13.729342818958685
91,4.390921021797106,2367,1.0,True,13.772825785912573
92,4.48680014622806,1524,1.0,True,13.816302992869169
93,4.264561722918255,2624,1.0,True,13.859730780823156
94,4.3747791030684295,2983,1.0,True,13.903258689912036
95,4.639958951633108,2744,1.0,True,13.94685476901941
96,4.206252204844779,3189,1.0,True,13.990293460898101
97,4.801945934822279,3151,1.0,True,14.033714826917276
98,4.607257317492023,2468,1.0,True,14.077225874876603
99,4.684394678224289,2990,1.0,True,14.120705798035488
100,4.18263919828517,2113,1.0,True,14.16413444885984
101,4.456651110278823,2524,1.0,True,14.207673924043775
102,4.5158485019329895,2425,1.0,True,14.25603554584086
103,5.031986956994969,2584,1.0,True,14.308024580823258
104,4.538132993540032,2039,1.0,True,14.359958091983572
105,4.474707502505254,3212,1.0,True,14.411116695962846
106,4.575124422709147,2304,1.0,True,14.46307050390169
107,4.5269203014047,2218,1.0,True,14.512905078940094
108,3.883113149958853,2886,1.0,True,14.544226352823898
109,4.55111587085663,2191,1.0,True,14.58745691482909
110,4.558186622114547,2870,1.0,True,14.630922500044107
111,4.783490741647581,3111,1.0,True,14.67462222604081
112,4.634547515702983,2204,1.0,True,14.71810739603825
